key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id_x,home_team_name,home_team_code,away_team_id_x,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,match_time_clean,elo_home,elo_away,elo_diff,home_team_id_y,home_points_last5,home_gd_last5,home_winrate_last10,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,home_rest_days,away_team_id_y,away_points_last5,away_gd_last5,away_winrate_last10,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,away_rest_days,underdog_is_home,y_upset_avoid_loss,y_home_win,y_draw,y_away_win,is_group_stage,is_knockout
1079,WC-2018,2018 FIFA Men's World Cup,M-2018-11,Brazil vs Switzerland,group stage,Group E,1,0,0,0,2018-06-17,21:00,S-153,Rostov Arena,Rostov-on-Don,Russia,T-09,Brazil,BRA,T-75,Switzerland,CHE,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-17,21:00,1500.0,1500.0,0.0,T-09,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-75,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,1,0,1,0
1080,WC-2018,2018 FIFA Men's World Cup,M-2018-12,Sweden vs South Korea,group stage,Group F,1,0,0,0,2018-06-18,15:00,S-152,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,T-74,Sweden,SWE,T-71,South Korea,KOR,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-18,15:00,1500.0,1500.0,0.0,T-74,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-71,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,0,1,0,0,1,0
1081,WC-2018,2018 FIFA Men's World Cup,M-2018-13,Belgium vs Panama,group stage,Group G,1,0,0,0,2018-06-18,18:00,S-157,Fisht Olympic Stadium,Sochi,Russia,T-06,Belgium,BEL,T-54,Panama,PAN,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,2018-06-18,18:00,1500.0,1500.0,0.0,T-06,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-54,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,0,1,0,0,1,0
1082,WC-2018,2018 FIFA Men's World Cup,M-2018-14,Tunisia vs England,group stage,Group G,1,0,0,0,2018-06-18,21:00,S-158,Volgograd Arena,Volgograd,Russia,T-79,Tunisia,TUN,T-28,England,ENG,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-18,21:00,1500.0,1500.0,0.0,T-79,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-28,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1083,WC-2018,2018 FIFA Men's World Cup,M-2018-15,Colombia vs Japan,group stage,Group H,1,0,0,0,2018-06-19,15:00,S-156,Mordovia Arena,Saransk,Russia,T-16,Colombia,COL,T-44,Japan,JPN,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-19,15:00,1500.0,1500.0,0.0,T-16,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-44,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1084,WC-2018,2018 FIFA Men's World Cup,M-2018-16,Poland vs Senegal,group stage,Group H,1,0,0,0,2018-06-19,18:00,S-151,Otkritie Arena,Moscow,Russia,T-57,Poland,POL,T-65,Senegal,SEN,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-19,18:00,1500.0,1500.0,0.0,T-57,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-65,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1085,WC-2018,2018 FIFA Men's World Cup,M-2018-17,Russia vs Egypt,group stage,Group A,1,0,0,0,2018-06-19,21:00,S-154,Krestovsky Stadium,Saint Petersburg,Russia,T-62,Russia,RUS,T-26,Egypt,EGY,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,2018-06-19,21:00,1510.0,1490.0,20.0,T-62,3.0,5.0,1.0,0.0,1.0,0.0,5,T-26,0.0,-1.0,0.0,1.0,0.0,0.5,4,0,0,1,0,0,1,0
1086,WC-2018,2018 FIFA Men's World Cup,M-2018-18,Portugal vs Morocco,group stage,Group B,1,0,0,0,2018-06-20,15:00,S-150,Luzhniki Stadium,Moscow,Russia,T-58,Portugal,PRT,T-47,Morocco,MAR,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-20,15:00,1500.0,1490.0,10.0,T-58,1.0,0.0,0.0,0.0,1.0,0.0,5,T-47,0.0,-1.0,0.0,1.0,0.0,0.5,5,0,0,1,0,0,1,0
1087,WC-2018,2018 FIFA Men's World Cup,M-2018-19,Uruguay vs Saudi Arabia,group stage,Group A,1,0,0,0,2018-06-20,18:00,S-153,Rostov Arena,Rostov-on-Don,Russia,T-84,Uruguay,URY,T-63,Saudi Arabia,SAU,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-20,18:00,1510.0,1490.0,20.0,T-84,3.0,1.0,1.0,0.0,1.0,0.0,5,T-63,0.0,-5.0,0.0,1.0,0.0,0.5,6,0,0,1,0,0,1,0
1088,WC-2018,2018 FIFA Men's World Cup,M-2018-20,Iran vs Spain,group stage,Group B,1,0,0,0,2018-06-20,21:00,S-149,Kazan Arena,Kazan,Russia,T-38,Iran,IRN,T-73,Spain,ESP,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-20,21:00,1510.0,1500.0,10.0,T-38,3.0,1.0,1.0,0.0,1.0,0.0,5,T-73,1.0,0.0,0.0,1.0,1.0,0.5,5,0,1,0,0,1,1,0
