key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,home_slug,away_slug,is_world_cup,elo_home_pre,elo_away_pre,elo_diff_pre,elo_gap_pre,elo_home_exp,elo_away_exp,home_points_last5,home_gd_last5,home_rest_days,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,away_points_last5,away_gd_last5,away_rest_days,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,is_group_stage,is_knockout,elo_diff,elo_gap,points_last5_diff,gd_last5_diff,rest_days_diff,concede_first_rate_diff,points_after_concede_first_diff,late_concede_rate_75p_diff,underdog_is_home,y_upset_avoid_loss,y_upset
11,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-46,Mexico,MEX,6–3,6,3,3,-3,0,0,0-0,0,0,home team win,1,0,0,1930-07-19 15:00:00,argentina,mexico,1,1510.28774368332,1480.28774368332,30.0,30.0,0.5430664920222119,0.4569335079777881,3.0,1.0,3.0,0.5,1.0,0.2,0.0,-6.0,3.0,0.5,1.0,0.2,1,0,30.0,30.0,3.0,7.0,0.0,0.0,0.0,0.0,0,0,0
12,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,1930-07-20 13:00:00,brazil,bolivia,1,1490.0,1490.28774368332,-0.28774368332005906,0.28774368332005906,0.4995859036472917,0.5004140963527083,0.0,-1.0,6.0,0.5,1.0,0.2,0.0,-4.0,3.0,0.5,1.0,0.2,1,0,-0.28774368332005906,0.28774368332005906,0.0,3.0,3.0,0.0,0.0,0.0,1,1,1
13,WC-1930,1930 FIFA Men's World Cup,M-1930-13,Paraguay vs Belgium,group stage,Group 4,1,0,0,0,1930-07-20,15:00,S-238,Estadio Centenario,Montevideo,Uruguay,T-55,Paraguay,PRY,T-06,Belgium,BEL,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1930-07-20 15:00:00,paraguay,belgium,1,1490.28774368332,1490.0,0.28774368332005906,0.28774368332005906,0.5004140963527083,0.4995859036472917,0.0,-3.0,3.0,0.5,1.0,0.2,0.0,-3.0,7.0,0.5,1.0,0.2,1,0,0.28774368332005906,0.28774368332005906,0.0,0.0,-4.0,0.0,0.0,0.0,0,0,0
14,WC-1930,1930 FIFA Men's World Cup,M-1930-14,Uruguay vs Romania,group stage,Group 3,1,0,0,0,1930-07-21,14:50,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-61,Romania,ROU,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,1930-07-21 14:50:00,uruguay,romania,1,1509.71225631668,1510.0,-0.28774368332005906,0.28774368332005906,0.4995859036472917,0.5004140963527083,3.0,1.0,3.0,0.5,1.0,0.2,3.0,2.0,7.0,0.5,1.0,0.2,1,0,-0.28774368332005906,0.28774368332005906,0.0,-1.0,-4.0,0.0,0.0,0.0,1,1,1
15,WC-1930,1930 FIFA Men's World Cup,M-1930-15,Argentina vs Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1930-07-22 14:45:00,argentina,chile,1,1519.4264138428757,1519.4245126333599,0.0019012095158359443,0.0019012095158359443,0.5000027360604311,0.4999972639395689,6.0,4.0,2.0,0.5,1.0,0.2,6.0,4.0,3.0,0.5,1.0,0.2,1,0,0.0019012095158359443,0.0019012095158359443,0.0,0.0,-1.0,0.0,0.0,0.0,0,0,0
16,WC-1930,1930 FIFA Men's World Cup,M-1930-16,Argentina vs United States,semi-finals,not applicable,0,1,0,0,1930-07-26,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-83,United States,USA,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1930-07-26 14:45:00,argentina,united_states,1,1529.426359121667,1519.71225631668,9.714102804987078,9.714102804987078,0.5139760760444553,0.4860239239555447,9.0,6.0,4.0,0.5,1.0,0.2,6.0,6.0,9.0,0.5,1.0,0.2,0,1,9.714102804987078,9.714102804987078,3.0,0.0,-5.0,0.0,0.0,0.0,0,0,0
17,WC-1930,1930 FIFA Men's World Cup,M-1930-17,Uruguay vs Yugoslavia,semi-finals,not applicable,0,1,0,0,1930-07-27,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-87,Yugoslavia,YUG,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1930-07-27 14:45:00,uruguay,yugoslavia,1,1519.7205382437342,1519.71225631668,0.008281927054213156,0.008281927054213156,0.500011918651108,0.49998808134889206,6.0,5.0,5.0,0.5,1.0,0.2,6.0,5.0,10.0,0.5,1.0,0.2,0,1,0.008281927054213156,0.008281927054213156,0.0,0.0,-5.0,0.0,0.0,0.0,0,0,0
18,WC-1930,1930 FIFA Men's World Cup,M-1930-18,Uruguay vs Argentina,final,not applicable,0,1,0,0,1930-07-30,14:15,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-03,Argentina,ARG,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1930-07-30 14:15:00,uruguay,argentina,1,1529.720299870712,1539.1468376007779,-9.426537730065775,9.426537730065775,0.48643744949526496,0.513562550504735,9.0,10.0,2.0,0.5,1.0,0.2,12.0,11.0,3.0,0.5,1.0,0.2,0,1,-9.426537730065775,9.426537730065775,-3.0,-1.0,-1.0,0.0,0.0,0.0,1,1,1
19,WC-1934,1934 FIFA Men's World Cup,M-1934-01,Austria vs France,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-114,Stadio Benito Mussolini,Turin,Italy,T-05,Austria,AUT,T-30,France,FRA,3–2,3,2,1,-1,1,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,austria,france,1,1500.0,1490.0,10.0,10.0,0.5143871841659987,0.4856128158340013,,,-1.0,0.5,1.0,0.2,3.0,1.0,1408.0,0.5,1.0,0.2,0,1,10.0,10.0,0.0,0.0,-1409.0,0.0,0.0,0.0,0,0,0
20,WC-1934,1934 FIFA Men's World Cup,M-1934-02,Czechoslovakia vs Romania,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-113,Stadio Littorio,Trieste,Italy,T-21,Czechoslovakia,CSK,T-61,Romania,ROU,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,czechoslovakia,romania,1,1500.0,1499.9917180729458,0.008281927054213156,0.008281927054213156,0.500011918651108,0.49998808134889206,,,-1.0,0.5,1.0,0.2,3.0,-2.0,1406.0,0.5,1.0,0.2,0,1,0.008281927054213156,0.008281927054213156,0.0,0.0,-1407.0,0.0,0.0,0.0,0,0,0
21,WC-1934,1934 FIFA Men's World Cup,M-1934-03,Germany vs Belgium,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-105,Stadio Giovanni Berta,Florence,Italy,T-31,Germany,DEU,T-06,Belgium,BEL,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,germany,belgium,1,1500.0,1480.0082819270542,19.991718072945787,19.991718072945787,0.5287386846324641,0.4712613153675359,,,-1.0,0.5,1.0,0.2,0.0,-4.0,1407.0,0.5,1.0,0.2,0,1,19.991718072945787,19.991718072945787,0.0,0.0,-1408.0,0.0,0.0,0.0,0,0,0
22,WC-1934,1934 FIFA Men's World Cup,M-1934-04,Hungary vs Egypt,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-108,Stadio Giorgio Ascarelli,Naples,Italy,T-36,Hungary,HUN,T-26,Egypt,EGY,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,hungary,egypt,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
23,WC-1934,1934 FIFA Men's World Cup,M-1934-05,Italy vs United States,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-111,Stadio Nazionale PNF,Rome,Italy,T-41,Italy,ITA,T-83,United States,USA,7–1,7,1,6,-6,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,italy,united_states,1,1500.0,1509.991777837569,-9.991777837569089,9.991777837569089,0.48562463868794786,0.5143753613120521,,,-1.0,0.5,1.0,0.2,6.0,1.0,1401.0,0.5,1.0,0.2,0,1,-9.991777837569089,9.991777837569089,0.0,0.0,-1402.0,0.0,0.0,0.0,1,1,1
24,WC-1934,1934 FIFA Men's World Cup,M-1934-06,Spain vs Brazil,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-106,Stadio Luigi Ferraris,Genoa,Italy,T-73,Spain,ESP,T-09,Brazil,BRA,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,spain,brazil,1,1500.0,1500.0082819270542,-0.008281927054213156,0.008281927054213156,0.49998808134889206,0.500011918651108,,,-1.0,0.5,1.0,0.2,3.0,3.0,1407.0,0.5,1.0,0.2,0,1,-0.008281927054213156,0.008281927054213156,0.0,0.0,-1408.0,0.0,0.0,0.0,1,1,1
25,WC-1934,1934 FIFA Men's World Cup,M-1934-07,Sweden vs Argentina,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-102,Stadio Renato Dall'Ara,Bologna,Italy,T-74,Sweden,SWE,T-03,Argentina,ARG,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,sweden,argentina,1,1500.0,1528.8755865906833,-28.87558659068327,28.87558659068327,0.45854010622642155,0.5414598937735784,,,-1.0,0.5,1.0,0.2,12.0,9.0,1397.0,0.5,1.0,0.2,0,1,-28.87558659068327,28.87558659068327,0.0,0.0,-1398.0,0.0,0.0,0.0,1,1,1
26,WC-1934,1934 FIFA Men's World Cup,M-1934-08,Switzerland vs Netherlands,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-107,San Siro,Milan,Italy,T-75,Switzerland,CHE,T-48,Netherlands,NLD,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-27 16:00:00,switzerland,netherlands,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
27,WC-1934,1934 FIFA Men's World Cup,M-1934-09,Austria vs Hungary,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-102,Stadio Renato Dall'Ara,Bologna,Italy,T-05,Austria,AUT,T-36,Hungary,HUN,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-31 16:30:00,austria,hungary,1,1509.71225631668,1510.0,-0.28774368332005906,0.28774368332005906,0.4995859036472917,0.5004140963527083,3.0,1.0,4.0,0.5,1.0,0.2,3.0,2.0,4.0,0.5,1.0,0.2,0,1,-0.28774368332005906,0.28774368332005906,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,1
28,WC-1934,1934 FIFA Men's World Cup,M-1934-10,Czechoslovakia vs Switzerland,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-114,Stadio Benito Mussolini,Turin,Italy,T-21,Czechoslovakia,CSK,T-75,Switzerland,CHE,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-31 16:30:00,czechoslovakia,switzerland,1,1509.999761626978,1510.0,-0.00023837302205720334,0.00023837302205720334,0.49999965695364557,0.5000003430463544,3.0,1.0,4.0,0.5,1.0,0.2,3.0,1.0,4.0,0.5,1.0,0.2,0,1,-0.00023837302205720334,0.00023837302205720334,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
29,WC-1934,1934 FIFA Men's World Cup,M-1934-11,Germany vs Sweden,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-107,San Siro,Milan,Italy,T-31,Germany,DEU,T-74,Sweden,SWE,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-05-31 16:30:00,germany,sweden,1,1509.4252263073506,1510.8291978754717,-1.403971568121051,1.403971568121051,0.4979795334952616,0.5020204665047384,3.0,3.0,4.0,0.5,1.0,0.2,3.0,1.0,4.0,0.5,1.0,0.2,0,1,-1.403971568121051,1.403971568121051,0.0,2.0,0.0,0.0,0.0,0.0,1,1,1
30,WC-1934,1934 FIFA Men's World Cup,M-1934-12,Italy vs Spain,quarter-finals,not applicable,0,1,1,0,1934-05-31,16:30,S-105,Stadio Giovanni Berta,Florence,Italy,T-41,Italy,ITA,T-73,Spain,ESP,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1934-05-31 16:30:00,italy,spain,1,1510.2875072262411,1510.000238373022,0.287268853219075,0.287268853219075,0.5004134130177311,0.4995865869822689,3.0,6.0,4.0,0.5,1.0,0.2,3.0,2.0,4.0,0.5,1.0,0.2,0,1,0.287268853219075,0.287268853219075,0.0,4.0,0.0,0.0,0.0,0.0,0,1,1
31,WC-1934,1934 FIFA Men's World Cup,M-1934-13,Italy vs Spain,quarter-finals,not applicable,0,1,0,1,1934-06-01,16:30,S-105,Stadio Giovanni Berta,Florence,Italy,T-41,Italy,ITA,T-73,Spain,ESP,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-06-01 16:30:00,italy,spain,1,1510.2792389658864,1510.0085066333768,0.27073233250962403,0.27073233250962403,0.5003896150667846,0.4996103849332154,4.0,6.0,1.0,0.5,1.0,0.2,4.0,2.0,1.0,0.5,1.0,0.2,0,1,0.27073233250962403,0.27073233250962403,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0
32,WC-1934,1934 FIFA Men's World Cup,M-1934-14,Czechoslovakia vs Germany,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-111,Stadio Nazionale PNF,Rome,Italy,T-21,Czechoslovakia,CSK,T-31,Germany,DEU,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934-06-03 16:30:00,czechoslovakia,germany,1,1519.999768487905,1519.4656356374453,0.5341328504596277,0.5341328504596277,0.5007686783563843,0.4992313216436157,6.0,2.0,3.0,0.5,1.0,0.2,6.0,4.0,3.0,0.5,1.0,0.2,0,1,0.5341328504596277,0.5341328504596277,0.0,-2.0,0.0,0.0,0.0,0.0,0,0,0
33,WC-1934,1934 FIFA Men's World Cup,M-1934-15,Italy vs Austria,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-107,San Siro,Milan,Italy,T-41,Italy,ITA,T-05,Austria,AUT,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-06-03 16:30:00,italy,austria,1,1520.2714466645507,1519.7205382437342,0.5509084208165405,0.5509084208165405,0.5007928202839086,0.4992071797160914,7.0,7.0,2.0,0.5,1.0,0.2,6.0,2.0,3.0,0.5,1.0,0.2,0,1,0.5509084208165405,0.5509084208165405,1.0,5.0,-1.0,0.0,0.0,0.0,0,0,0
34,WC-1934,1934 FIFA Men's World Cup,M-1934-16,Germany vs Austria,third-place match,not applicable,0,1,0,0,1934-06-07,18:00,S-108,Stadio Giorgio Ascarelli,Naples,Italy,T-31,Germany,DEU,T-05,Austria,AUT,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934-06-07 18:00:00,germany,austria,1,1509.481009204573,1509.7363946494124,-0.2553854448394759,0.2553854448394759,0.49963247086728396,0.5003675291327161,6.0,2.0,4.0,0.5,1.0,0.2,6.0,1.0,4.0,0.5,1.0,0.2,0,1,-0.2553854448394759,0.2553854448394759,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1
35,WC-1934,1934 FIFA Men's World Cup,M-1934-17,Italy vs Czechoslovakia,final,not applicable,0,1,0,0,1934-06-10,17:00,S-111,Stadio Nazionale PNF,Rome,Italy,T-41,Italy,ITA,T-21,Czechoslovakia,CSK,2–1,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0,1934-06-10 17:00:00,italy,czechoslovakia,1,1530.2555902588724,1529.9843949207773,0.27119533809513996,0.27119533809513996,0.5003902813849788,0.49960971861502124,10.0,8.0,7.0,0.5,1.0,0.2,9.0,4.0,7.0,0.5,1.0,0.2,0,1,0.27119533809513996,0.27119533809513996,1.0,4.0,0.0,0.0,0.0,0.0,0,0,0
36,WC-1938,1938 FIFA Men's World Cup,M-1938-01,Switzerland vs Germany,round of 16,not applicable,0,1,1,0,1938-06-04,17:00,S-068,Parc des Princes,Paris,France,T-75,Switzerland,CHE,T-31,Germany,DEU,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1938-06-04 17:00:00,switzerland,germany,1,1499.999993139073,1519.4883597872272,-19.48836664815417,19.48836664815417,0.4719833628179389,0.5280166371820612,3.0,0.0,1465.0,0.5,1.0,0.2,9.0,3.0,1457.0,0.5,1.0,0.2,0,1,-19.48836664815417,19.48836664815417,-6.0,-3.0,8.0,0.0,0.0,0.0,1,1,1
