team_A,team_B,P_team_A_wins,P_team_B_wins,top11_mean_diff,top3_mean_diff,depth12_23_mean_diff,player_based_score_diff
ARG,COL,1.0,0.0,11.543589019509568,7.2201286780624585,19.81751443414831,12.531205287807474
AUT,COL,1.0,0.0,9.85628956657299,10.851530610047476,12.004251426423327,10.642090292404198
BRA,COL,1.0,0.0,18.079779957182502,18.04256931106466,26.55457328303165,20.189175627115333
BRA,GHA,1.0,0.0,14.6447867687137,15.730867631407762,21.606858019344067,16.65682479704481
BRA,JPN,1.0,0.0,8.562627674710221,6.262014133643007,24.314642995920273,11.925478119745932
BEL,SEN,1.0,0.0,7.864462149306828,21.0604490518769,5.836658338987114,10.656507922369421
BEL,URU,1.0,0.0,7.975797431201112,22.30722164174749,5.968794289206146,11.056902698338966
BRA,CIV,1.0,0.0,12.95040437818166,16.04063372401106,20.291916988686573,15.55833986726524
BEL,USA,1.0,0.0,8.932716923323664,23.00032959279494,11.072819140936012,12.984645645094574
BEL,GHA,1.0,0.0,9.389983556632615,22.31057316018814,8.39451004351134,12.37126257924118
BEL,NOR,1.0,0.0,10.42448768615672,18.640607689120145,11.46463386680706,12.738554232060164
BEL,COL,1.0,0.0,12.824976745101416,24.62227483984504,13.342225307198927,15.903613409311703
BRA,URU,1.0,0.0,13.230600643282198,15.727516112967109,19.181142265038872,15.342464916142596
BRA,NOR,1.0,0.0,15.679290898237806,12.060902160339765,24.676981842639783,17.024116449863794
BRA,SCO,1.0,0.0,11.832499587153105,7.587065324854038,18.35834567185216,12.402602542753105
BRA,SEN,1.0,0.0,13.119265361387914,14.480743523096521,19.049006314819838,14.942070140173051
BRA,SUI,1.0,0.0,11.7430244279022,11.216941421097019,20.11473401204141,13.704431072235714
BRA,USA,1.0,0.0,14.18752013540475,16.42062406401456,24.285167116768736,17.270207862898204
BEL,CIV,1.0,0.0,7.695601166100573,22.62033925279144,7.079569012853847,11.27277764946161
GER,USA,1.0,0.0,20.14722048403271,24.446749393972468,29.045979682606184,23.446792511161014
MAR,NOR,1.0,0.0,12.120094553075223,15.900825167850584,3.1831585261136066,10.831043200028663
POR,SUI,1.0,0.0,10.882744866883904,6.045180561188886,16.815565693866233,11.156558997205735
NED,SUI,1.0,0.0,12.268715771756554,16.280020378551285,11.23288222887526,13.012583537734919
NED,USA,1.0,0.0,14.713211479259105,21.483703021468827,15.403315333602585,16.57836032839741
NED,URU,1.0,0.0,13.756291987136553,20.790595070421375,10.299290481872719,14.650617381641801
NED,NOR,1.0,0.0,16.20498224209216,17.12398111779403,15.795130059473633,16.332268915363
NED,SCO,1.0,0.0,12.35819093100746,12.650144282308304,9.476493888686008,11.71075500825231
NED,SEN,1.0,0.0,13.644956705242269,19.543822480550787,10.167154531653686,14.250222605672256
MAR,USA,1.0,0.0,10.628323790242167,20.26054707152538,2.791343800242558,11.077134613063073
GER,MAR,1.0,0.0,9.518896693790545,4.1862023224470875,26.254635882363626,12.369657898097941
GER,NOR,1.0,0.0,21.638991246865768,20.08702749029767,29.43779440847723,23.200701098126604
GER,SEN,1.0,0.0,19.078965710015876,22.506868853054428,23.809818880657286,21.11865478843586
GER,SCO,1.0,0.0,17.792199935781067,15.613190654811945,23.119158237689607,18.579187191015915
ENG,SCO,1.0,0.0,16.539505807105467,10.525449580790436,21.12930150142014,16.18344067410538
ESP,GHA,1.0,0.0,21.806454207619417,17.059077427780622,29.04901655703845,22.430250600014478
ESP,MAR,1.0,0.0,10.7208637840683,-2.511713211137959,28.93598185422056,11.9664990528048
ESP,JPN,1.0,0.0,15.724295113615938,7.590223930015867,31.756801533614656,17.6989039227156
ESP,SUI,1.0,0.0,18.904691866807916,12.54515121746988,27.556892549735792,19.477856875205383
ENG,SEN,1.0,0.0,17.826271581340276,17.41912777903292,21.81996214438782,18.722908271525327
ENG,SUI,1.0,0.0,16.45003064785456,14.155325677033417,22.88568984160939,17.48526920358799
ENG,URU,1.0,0.0,17.93760686323456,18.665900368903507,21.952098094606853,19.123303047494872
ENG,USA,1.0,0.0,18.89452635535711,19.35900831995096,27.056122946336718,21.05104599425048
FRA,GHA,1.0,0.0,22.241250188301144,22.48489527694649,29.484687841615738,24.113020873791125
ESP,USA,1.0,0.0,21.349187574310466,17.74883386038742,31.72732565446312,23.043633665867873
ESP,URU,1.0,0.0,20.392268082187915,17.05572590933997,26.623300802733254,21.115890719112265
GER,GHA,1.0,0.0,20.604487117341662,23.75699296136567,26.367670585181514,22.83340944530762
FRA,USA,1.0,0.0,21.783983554992194,23.174651709553288,32.16299693904041,24.72640393964452
FRA,SUI,1.0,0.0,19.339487847489643,17.970969066635746,27.99256383431308,21.16062714898203
FRA,URU,1.0,0.0,20.827064062869642,22.481543758505836,27.058972087310543,22.798660992888912
FRA,NOR,1.0,0.0,23.27575431782525,18.814929805878492,32.554811664911455,24.48031252661011
FRA,MAR,1.0,0.0,11.155659764750027,2.914104638027908,29.37165313879785,13.649269326581447
FRA,SEN,1.0,0.0,20.715728780975358,21.23477116863525,26.92683613709151,22.398266216919367
FRA,SCO,1.0,0.0,19.42896300674055,14.341092970392765,26.23617549412383,19.85879861949942
GER,JPN,1.0,0.0,14.522328023338183,14.288139463600913,29.07545556175772,18.102062768008743
ESP,SEN,1.0,0.0,20.28093280029363,15.808953319469381,26.49116485251422,20.71549594314272
ESP,NOR,1.0,0.0,22.840958337143523,13.389111956712625,32.119140380334166,22.797542252833463
ESP,SCO,1.0,0.0,18.994167026058822,8.915275121226898,25.800504209546542,18.176028345722774
FRA,JPN,1.0,0.0,16.159091094297665,13.016041779181734,32.192472818191945,19.38167419649225
ENG,GHA,1.0,0.0,19.351792988666062,18.66925188734416,24.377813848912048,20.437662928397085
ENG,JPN,1.0,0.0,13.269633894662583,9.200398389579405,27.085598825488255,15.706316251098208
ENG,NOR,1.0,0.0,20.386297118190168,14.999286416276163,27.447937672207765,20.80495458121607
GER,SUI,1.0,0.0,17.70272477653016,19.243066751054926,24.875546577878858,19.881015720498525
POR,USA,1.0,0.0,13.327240574386455,11.248863204106428,20.985998798593556,14.722335787868225
POR,URU,1.0,0.0,12.370321082263903,10.555755253058976,15.88197394686369,12.794592841112618
POR,SEN,1.0,0.0,12.258985800369619,9.308982663188388,15.749837996644658,12.394198065143073
GER,URU,1.0,0.0,19.19030099191016,23.753641442925016,23.94195483087632,21.519049564405407
BRA,CRO,0.9999999999999998,2.220446049250313e-16,8.399213971482048,6.541895772342649,18.38112496471436,10.430362170005282
FRA,POR,0.9999999999999993,6.661338147750939e-16,8.456742980605739,11.92578850544686,11.176998140446852,10.004068151776295
BEL,SUI,0.9999999999999987,1.3322676295501878e-15,6.488221215821113,17.7966469498774,6.9023860362086875,9.418868854432084
ENG,MAR,0.9999999999999987,1.3322676295501878e-15,8.266202565114945,-0.9015387515744209,24.26477914609416,9.973911381187406
ARG,USA,0.9999999999999976,2.4424906541753444e-15,7.651329197731815,5.598183431012359,17.548108267885397,9.612237523590345
POR,SCO,0.9999999999999942,5.773159728050814e-15,10.97222002613481,2.415304464945905,15.05917735367698,9.854730467723126
MAR,URU,0.9999999999999851,1.4876988529977098e-14,9.671404298119615,19.56743912047793,-2.312681051487308,9.149391666307466
ARG,NOR,0.9999999999999833,1.6653345369377348e-14,9.143099960564872,1.238461527337563,17.939922993756447,9.366146110555935
GER,POR,0.9999999999999698,3.019806626980426e-14,6.819979909646257,13.19788618986604,8.059980884012628,8.72445672329279
ARG,GHA,0.9999999999999671,3.2862601528904634e-14,8.108595831040766,4.9084269984055595,14.869799170460725,8.99885445773695
MAR,SEN,0.9999999999999314,6.861178292183467e-14,9.56006901622533,18.32066653060734,-2.4448170017063404,8.74899689033792
BEL,SCO,0.9999999999997504,2.495781359357352e-13,6.577696375072019,14.166770853634418,5.145997696019435,8.117040324949475
ESP,POR,0.9999999999996352,3.6481928589182644e-13,8.021946999924012,6.499970656280993,10.741326855869563,8.321297877999648
